text,intent,response
"How can I prevent dehydration?",health_advice,"Drink sufficient water, eat water-rich foods, and replace fluids during exercise or hot weather."
"Are nuts healthy for daily snacking?",health_advice,"Yes, nuts provide healthy fats, protein, and fiber, but eat in moderation due to calories."
"What foods help reduce stress?",health_advice,"Fruits, vegetables, nuts, fish, and foods rich in magnesium and vitamin B can help reduce stress."
"How many steps should I walk daily?",health_advice,"Aim for 7,000–10,000 steps daily for general health and fitness."
"Is fish good for health?",health_advice,"Yes, fish is rich in protein and omega-3 fatty acids, which support heart and brain health."
"What is the healthiest source of carbohydrates?",health_advice,"Whole grains, vegetables, fruits, and legumes provide complex carbohydrates and fiber."
"Should I drink milk every day?",health_advice,"Milk is a good source of calcium and protein; daily intake is beneficial if tolerated."
"How important is breakfast?",health_advice,"Breakfast provides energy and nutrients to start the day and supports metabolism."
"Can regular exercise improve my mental health?",health_advice,"Yes, exercise reduces stress, anxiety, and depression while improving mood."
"Is it healthy to drink lemon water in the morning?",health_advice,"Yes, lemon water can aid hydration and provide vitamin C, but it’s not a miracle cure."
"What foods can give me more energy?",health_advice,"Complex carbs, lean protein, fruits, nuts, and whole grains provide sustained energy."
"How can I avoid catching the flu?",health_advice,"Wash hands, get vaccinated, eat a healthy diet, stay hydrated, and avoid close contact with sick people."
"What habits lead to a healthy lifestyle?",health_advice,"Regular exercise, balanced diet, good sleep, stress management, and hydration contribute to health."
"Is it okay to nap in the afternoon?",health_advice,"Short naps (20–30 minutes) can boost energy and alertness without affecting nighttime sleep."
"How do I stay active if I work at a desk all day?",health_advice,"Take breaks to stretch, walk, use a standing desk, and include regular exercise."
"What is the healthiest way to cook vegetables?",health_advice,"Steaming, roasting, or lightly sautéing preserves nutrients better than deep-frying."
"Can drinking too much water be harmful?",health_advice,"Yes, excessive water can lead to water intoxication; drink according to thirst and activity."
"Should I eat three meals or smaller meals more often?",health_advice,"Both can work; focus on balanced nutrition and portion control."
"Is swimming a good exercise for overall fitness?",health_advice,"Yes, swimming is low-impact and improves cardiovascular health, strength, and flexibility."
"What foods can help lower cholesterol?",health_advice,"Oats, beans, nuts, fatty fish, and vegetables can help reduce cholesterol levels."
"How do I improve my posture?",health_advice,"Strengthen core muscles, stretch regularly, and be mindful of body alignment when sitting or standing."
"Is it better to sleep early or wake up early?",health_advice,"Getting adequate sleep is most important; a consistent sleep schedule improves health."
"Should I avoid processed foods?",health_advice,"Yes, limiting processed foods reduces excess salt, sugar, and unhealthy fats."
"How important is daily exercise?",health_advice,"Daily activity improves heart health, muscles, mood, and overall well-being."
"Can laughter improve my health?",health_advice,"Yes, laughter reduces stress, boosts mood, and may improve immune function."
"What is the best diet for long-term health?",health_advice,"A balanced diet with fruits, vegetables, whole grains, lean protein, and healthy fats is ideal."
"How do I avoid overeating?",health_advice,"Eat slowly, control portions, choose nutrient-dense foods, and avoid distractions while eating."
"Is it healthy to drink fruit juice daily?",health_advice,"Limit fruit juice due to sugar; whole fruits are better for fiber and nutrients."
"What are the benefits of sunlight?",health_advice,"Sunlight helps vitamin D production, improves mood, and supports bone health."
"Can listening to music reduce stress?",health_advice,"Yes, music can relax the mind, reduce stress hormones, and improve mood."
"Should I eat more whole grains?",health_advice,"Yes, whole grains provide fiber, vitamins, and minerals that support digestion and heart health."
"Is breakfast really the most important meal?",health_advice,"A healthy breakfast supports energy, focus, and metabolism, but overall diet matters most."
"How do I strengthen my bones naturally?",health_advice,"Consume calcium and vitamin D, exercise regularly, and avoid smoking or excessive alcohol."
"What foods help with good sleep?",health_advice,"Foods with magnesium, tryptophan, and complex carbs like nuts, dairy, and whole grains can aid sleep."
"Is it okay to eat rice daily?",health_advice,"Yes, in moderation as part of a balanced diet, preferably whole-grain rice."
"How can I prevent diabetes naturally?",health_advice,"Maintain a healthy weight, exercise regularly, eat balanced meals, and limit sugar and processed foods."
"Are avocados good for health?",health_advice,"Yes, avocados are rich in healthy fats, fiber, and vitamins that support heart health."
"What is the healthiest snack?",health_advice,"Fruits, nuts, yogurt, or veggie sticks are nutritious snack options."
"Can exercise slow down aging?",health_advice,"Regular exercise helps maintain muscle, bone, and cardiovascular health, slowing some aging effects."
"What is the role of antioxidants in health?",health_advice,"Antioxidants protect cells from damage, support immunity, and may reduce risk of chronic diseases."
"Is drinking herbal tea daily good for me?",health_advice,"Yes, herbal teas can provide hydration, antioxidants, and relaxation benefits."
"How do I keep my heart healthy?",health_advice,"Eat a balanced diet, exercise regularly, avoid smoking, manage stress, and monitor blood pressure."
"What are the benefits of deep breathing?",health_advice,"Deep breathing reduces stress, lowers blood pressure, and improves oxygen flow."
"Is it necessary to take supplements?",health_advice,"Supplements are helpful if your diet lacks nutrients, but a balanced diet is usually sufficient."
"How can I avoid lifestyle diseases?",health_advice,"Eat healthy, exercise, avoid smoking, limit alcohol, manage stress, and get regular checkups."
"Is dancing a good form of exercise?",health_advice,"Yes, dancing improves cardiovascular health, flexibility, strength, and mood."
"What foods should I eat for healthy skin?",health_advice,"Fruits, vegetables, nuts, fatty fish, and water-rich foods support skin health."
"How can I stay motivated to exercise?",health_advice,"Set goals, track progress, vary workouts, exercise with friends, and reward yourself."
"Are probiotics good for digestion?",health_advice,"Yes, probiotics support gut health and improve digestion and immunity."
"How important is hand washing for health?",health_advice,"Hand washing prevents infections and is one of the most effective ways to stay healthy."
"What is the benefit of eating seasonal foods?",health_advice,"Seasonal foods are fresh, nutrient-rich, and often more affordable and sustainable."
"How can I stay healthy while traveling?",health_advice,"Maintain hygiene, eat balanced meals, stay hydrated, and exercise or walk regularly."
"Should I avoid fried foods completely?",health_advice,"Limit fried foods to reduce unhealthy fats and calories; occasional intake is okay."
"Is it healthy to eat chocolate?",health_advice,"Moderate dark chocolate can be healthy due to antioxidants, but avoid excessive sugar."
"What is the best time to exercise?",health_advice,"Exercise at a time that suits your schedule and consistency; morning or evening both work."
"How do I increase my stamina naturally?",health_advice,"Exercise regularly, eat a balanced diet, stay hydrated, and get adequate sleep."
"What foods can boost brain power?",health_advice,"Fatty fish, nuts, seeds, berries, and whole grains support brain health."
"Is it healthy to drink smoothies daily?",health_advice,"Yes, if made with whole fruits, vegetables, and low added sugar."
"How much protein do I really need?",health_advice,"Adults generally need 0.8–1 gram per kg of body weight daily; active individuals may need more."
"Is running good for joint health?",health_advice,"Moderate running is generally safe; proper shoes, surface, and technique reduce joint stress."
"How do I avoid unhealthy cravings?",health_advice,"Eat regular balanced meals, stay hydrated, manage stress, and get enough sleep."
"Are eggs good for heart health?",health_advice,"Yes, eggs in moderation are heart-healthy and provide essential nutrients."
"Is it healthy to sleep late but long?",health_advice,"Quality and consistency of sleep are more important than exact timing; try to maintain a schedule."
"What foods are rich in calcium?",health_advice,"Dairy, leafy greens, almonds, tofu, and fortified plant milks provide calcium."
"How do I stay healthy in summer?",health_advice,"Stay hydrated, eat light meals, wear sun protection, and exercise safely."
"What are the benefits of eating nuts?",health_advice,"Nuts provide healthy fats, protein, fiber, and antioxidants for heart and brain health."
"Is skipping dinner healthy?",health_advice,"Skipping dinner occasionally is fine if overall nutrition is balanced, but regular skipping may affect metabolism."
"How can I keep my eyes healthy?",health_advice,"Eat leafy greens, reduce screen strain, wear sunglasses, and get regular eye checkups."
"What is the healthiest cooking oil?",health_advice,"Olive oil, avocado oil, and other unsaturated oils are healthier choices than saturated or trans fats."
"Is meditation good for physical health?",health_advice,"Yes, meditation can reduce blood pressure, stress, and improve overall wellness."
"How do I strengthen my immune system?",health_advice,"Eat well, exercise, sleep adequately, manage stress, and maintain hygiene."
"Are fermented foods good for health?",health_advice,"Yes, fermented foods like yogurt, kimchi, and kefir support gut health and immunity."
"What is the importance of hydration?",health_advice,"Hydration is essential for digestion, energy, temperature regulation, and overall bodily functions."
"How do I stay healthy during exams?",health_advice,"Eat well, stay hydrated, sleep, take breaks, and manage stress with exercise or relaxation techniques."
"Is eating fish regularly healthy?",health_advice,"Yes, fish provides protein and omega-3s beneficial for heart and brain health."
"What is the best diet for athletes?",health_advice,"A balanced diet with adequate protein, carbs, fats, and hydration supports performance and recovery."
"Can drinking coffee be healthy?",health_advice,"Moderate coffee intake can boost alertness and provide antioxidants without major health risks."
"How much sleep do I really need?",health_advice,"Most adults need 7–9 hours per night for optimal health and cognitive function."
"What are the benefits of stretching daily?",health_advice,"Daily stretching improves flexibility, reduces muscle tension, and prevents injuries."
"Is intermittent fasting safe?",health_advice,"Intermittent fasting can be safe for healthy adults but should be done carefully and not excessively."
"How do I maintain healthy hair naturally?",health_advice,"Eat a balanced diet, reduce heat styling, stay hydrated, and use gentle hair care products."
"Can gardening improve health?",health_advice,"Yes, gardening provides physical activity, reduces stress, and can boost mental well-being."
"Is it good to eat spicy food?",health_advice,"Spicy food is fine in moderation; it may boost metabolism but can irritate some digestive systems."
"How do I reduce stress naturally?",health_advice,"Exercise, meditation, deep breathing, adequate sleep, and hobbies help reduce stress."
"What foods are best for energy?",health_advice,"Whole grains, fruits, vegetables, nuts, and lean protein provide sustained energy."
"Is walking enough to stay fit?",health_advice,"Walking is beneficial but should be complemented with strength training and flexibility exercises."
"How do I prevent weight gain?",health_advice,"Eat a balanced diet, exercise regularly, monitor portion sizes, and avoid excessive sugar and processed foods."
"Is green tea really healthy?",health_advice,"Yes, green tea contains antioxidants and may support metabolism, heart health, and brain function."
"What foods are rich in iron?",health_advice,"Red meat, beans, lentils, spinach, and fortified cereals provide iron."
"Can I stay healthy without exercise?",health_advice,"Regular exercise is important for long-term health; minimal activity can lead to health issues."
"Is honey better than sugar?",health_advice,"Honey is natural and contains antioxidants, but both should be consumed in moderation."
"How do I build healthy routines?",health_advice,"Set consistent sleep, meal, and exercise schedules, and gradually add positive habits."
"What is the benefit of eating fiber?",health_advice,"Fiber supports digestion, reduces cholesterol, and helps control blood sugar levels."
"Can pets improve health?",health_advice,"Pets can reduce stress, encourage physical activity, and improve emotional well-being."
"Is it okay to nap during the day?",health_advice,"Short naps (20–30 minutes) can boost alertness without affecting nighttime sleep."
"What are the best foods for kids?",health_advice,"Fruits, vegetables, whole grains, dairy, lean proteins, and healthy fats support growth and development."
"How do I avoid eye strain?",health_advice,"Take regular breaks from screens, adjust lighting, blink often, and consider blue light filters."
"Is milk necessary for good health?",health_advice,"Milk provides calcium and protein, but alternatives like fortified plant milk can also be healthy."
"What is the healthiest breakfast?",health_advice,"A breakfast with whole grains, protein, fruits, and healthy fats is ideal."
"Can positive thinking improve health?",health_advice,"Yes, positive thinking can reduce stress, improve mood, and support overall well-being."
"Is it better to cook at home than eat out?",health_advice,"Cooking at home allows control over ingredients, portion sizes, and overall nutrition."
"What are the risks of too much screen time?",health_advice,"Excessive screen time can cause eye strain, poor posture, sleep disruption, and reduced physical activity."
"How do I stay fit at home?",health_advice,"Combine home workouts, bodyweight exercises, stretching, and walking to maintain fitness."
"Is coconut water good for health?",health_advice,"Yes, coconut water hydrates and provides electrolytes, especially after exercise."
"What are the benefits of outdoor activities?",health_advice,"Outdoor activities improve physical fitness, mood, and vitamin D levels."
"How can I avoid obesity?",health_advice,"Eat balanced meals, exercise regularly, manage stress, and maintain healthy habits."
"Is strength training safe for everyone?",health_advice,"Yes, if done with proper technique and guidance; beginners should start gradually."
"What foods support healthy digestion?",health_advice,"Fiber-rich foods, probiotics, water, and balanced meals promote good digestion."
"Can fasting improve health?",health_advice,"Intermittent fasting can benefit metabolism and weight management if done safely."
"How do I keep my mind and body balanced?",health_advice,"Exercise, healthy diet, sleep, stress management, and mindfulness support balance."
"Are dairy products healthy?",health_advice,"Yes, dairy provides protein, calcium, and other nutrients; choose low-fat options if needed."
"How can I build a strong daily routine?",health_advice,"Plan consistent sleep, meals, exercise, work, and relaxation to maintain balance and health."
"Is yoga enough to stay healthy?",health_advice,"Yoga helps flexibility and stress relief but should be complemented with cardio and strength exercises."
"What foods can improve memory?",health_advice,"Fatty fish, berries, nuts, whole grains, and leafy greens support brain function and memory."
"What foods should I eat to stay healthy?",nutrition_advice,"Eat a balanced diet including fruits, vegetables, whole grains, lean proteins, and healthy fats."
"Can you suggest a balanced diet plan?",nutrition_advice,"Include a variety of fruits, vegetables, whole grains, lean protein, and healthy fats spread across meals."
"How much protein should I include daily?",nutrition_advice,"Adults generally need 0.8–1 gram of protein per kg of body weight; athletes may need more."
"What are the best sources of vitamins?",nutrition_advice,"Fruits, vegetables, dairy, nuts, seeds, and whole grains are rich in essential vitamins."
"Is eating fruits every day good for me?",nutrition_advice,"Yes, daily fruits provide vitamins, fiber, and antioxidants essential for health."
"Can you recommend healthy snacks?",nutrition_advice,"Nuts, fruits, yogurt, veggie sticks, and hummus are nutritious snack options."
"How many calories should I eat per day?",nutrition_advice,"Calorie needs vary by age, gender, and activity, but generally 1800–2500 calories for adults."
"Is it better to eat three big meals or small frequent meals?",nutrition_advice,"Both can work; focus on balanced meals and portion control throughout the day."
"What foods should I avoid for weight loss?",nutrition_advice,"Limit sugary drinks, processed foods, fried foods, and high-calorie snacks."
"Can you give me tips for healthy eating?",nutrition_advice,"Eat a variety of whole foods, limit processed foods, control portion sizes, and stay hydrated."
"Should I drink milk every day?",nutrition_advice,"Milk is a good source of calcium and protein; daily intake is beneficial if tolerated."
"Is eating rice daily healthy?",nutrition_advice,"Yes, in moderation as part of a balanced diet; prefer whole-grain rice for more fiber."
"What foods help in building muscle?",nutrition_advice,"Lean meats, eggs, dairy, legumes, nuts, and protein-rich plant foods support muscle growth."
"Which vegetables are best for my diet?",nutrition_advice,"Leafy greens, cruciferous vegetables, bell peppers, carrots, and broccoli are highly nutritious."
"How much water should I drink daily?",nutrition_advice,"Aim for about 2 liters (8 cups) daily, adjusting for activity and climate."
"Can you recommend foods that improve digestion?",nutrition_advice,"Fiber-rich foods, probiotics like yogurt, and plenty of water improve digestion."
"What foods are rich in fiber?",nutrition_advice,"Whole grains, fruits, vegetables, legumes, nuts, and seeds are excellent fiber sources."
"Should I avoid sugar completely?",nutrition_advice,"Limit added sugars; natural sugars in fruits are healthy."
"What should I eat to improve my immunity?",nutrition_advice,"Fruits, vegetables, nuts, seeds, and lean protein support immune function."
"Can you suggest a healthy breakfast?",nutrition_advice,"Whole grains, protein, fruits, and healthy fats make a balanced breakfast."
"Is it okay to eat eggs daily?",nutrition_advice,"Yes, eggs provide protein, vitamins, and minerals; moderate daily intake is safe."
"What are the benefits of eating nuts?",nutrition_advice,"Nuts provide healthy fats, protein, fiber, and support heart and brain health."
"Should I eat before or after a workout?",nutrition_advice,"Have a light meal before workouts for energy and protein-rich foods after for recovery."
"What foods help with better sleep?",nutrition_advice,"Foods with magnesium, tryptophan, or complex carbs like nuts, dairy, and whole grains support sleep."
"Can you suggest foods to reduce cholesterol?",nutrition_advice,"Oats, beans, fatty fish, nuts, fruits, and vegetables help lower cholesterol."
"What foods are good for brain health?",nutrition_advice,"Fatty fish, berries, nuts, seeds, and leafy greens support cognitive function."
"Is eating fast food once a week okay?",nutrition_advice,"Occasional fast food is okay if most meals are balanced and healthy."
"Which fruits are best for weight loss?",nutrition_advice,"Berries, apples, pears, grapefruit, and watermelon are low-calorie, fiber-rich options."
"Should I eat dairy products every day?",nutrition_advice,"Dairy provides protein and calcium; moderate daily intake is beneficial if tolerated."
"Can you recommend foods that give energy?",nutrition_advice,"Whole grains, fruits, nuts, seeds, and lean proteins provide sustained energy."
"What is the best diet for strong bones?",nutrition_advice,"Include calcium-rich foods, vitamin D, protein, and regular exercise for bone strength."
"Should I take supplements or natural foods?",nutrition_advice,"A balanced diet is best; supplements are helpful only if nutrient intake is insufficient."
"Is drinking coffee daily healthy?",nutrition_advice,"Moderate coffee intake is safe and can provide antioxidants, but avoid excess sugar or cream."
"What foods should I eat to stay fit?",nutrition_advice,"Eat a variety of fruits, vegetables, whole grains, lean protein, and healthy fats while staying active."
"Can you suggest foods for clear skin?",nutrition_advice,"Fruits, vegetables, nuts, and foods rich in omega-3 and antioxidants support healthy skin."
"Should I eat raw vegetables or cooked ones?",nutrition_advice,"Both are healthy; some nutrients are higher in raw, others in cooked vegetables."
"Which foods are rich in iron?",nutrition_advice,"Red meat, lentils, spinach, beans, and fortified cereals are good iron sources."
"Is it good to eat fish regularly?",nutrition_advice,"Yes, fish provides protein and omega-3 fatty acids beneficial for heart and brain health."
"What foods can help with weight gain?",nutrition_advice,"Nuts, seeds, whole grains, dairy, and healthy fats can help gain weight healthily."
"Can you suggest foods for a diabetic person?",nutrition_advice,"Whole grains, vegetables, lean protein, fruits in moderation, and low-glycemic foods are ideal."
"Should I eat late at night?",nutrition_advice,"Avoid heavy meals late at night to prevent indigestion and poor sleep."
"Is it good to skip meals for dieting?",nutrition_advice,"Skipping meals is not recommended; balanced meals and portion control are better for weight management."
"Which foods are high in antioxidants?",nutrition_advice,"Berries, nuts, dark chocolate, spinach, and green tea are rich in antioxidants."
"Can you suggest foods for healthy hair?",nutrition_advice,"Protein-rich foods, nuts, seeds, and fruits and vegetables support hair growth and strength."
"Is it okay to eat chocolate sometimes?",nutrition_advice,"Yes, moderate dark chocolate is fine as a treat."
"Should I eat oily food at all?",nutrition_advice,"Limit unhealthy oils; healthy fats from olive oil, nuts, and seeds are recommended."
"What foods improve concentration?",nutrition_advice,"Fatty fish, nuts, blueberries, dark chocolate, and whole grains can boost focus."
"Which foods are best for athletes?",nutrition_advice,"Lean protein, whole grains, fruits, vegetables, and adequate hydration support athletic performance."
"Should I follow a vegetarian diet?",nutrition_advice,"A vegetarian diet is healthy if it includes sufficient protein, vitamins, and minerals."
"What foods are good for heart health?",nutrition_advice,"Fruits, vegetables, whole grains, nuts, and fatty fish protect heart health."
"What foods can help reduce bloating?",nutrition_advice,"Fiber-rich foods, probiotics, and avoiding excessive salt and carbonated drinks reduce bloating."
"Should I eat more fruits or vegetables?",nutrition_advice,"Both are important; aim for a variety and at least 5 servings per day."
"Is a high-protein diet safe?",nutrition_advice,"High-protein diets are safe for most adults but should be balanced with other nutrients and hydration."
"What foods should I eat after exercise?",nutrition_advice,"Protein-rich foods with some carbs, like eggs, yogurt, or lean meat, help muscle recovery."
"Can you suggest foods that are low in calories?",nutrition_advice,"Vegetables, fruits, soups, and lean proteins are low-calorie, nutrient-rich options."
"Is eating bread daily healthy?",nutrition_advice,"Whole-grain bread is healthy in moderation; refined white bread should be limited."
"What are the benefits of eating yogurt?",nutrition_advice,"Yogurt provides protein, calcium, probiotics, and supports gut health."
"Which foods help with digestion problems?",nutrition_advice,"Fiber-rich foods, fermented foods, and plenty of water aid digestion."
"Should I eat spicy food often?",nutrition_advice,"Moderate spice is generally fine but avoid excess if you have digestive issues."
"What foods give instant energy?",nutrition_advice,"Fruits like bananas, nuts, and whole-grain toast provide quick energy."
"Is it healthy to eat dry fruits daily?",nutrition_advice,"Yes, in small amounts; they are calorie-dense but nutrient-rich."
"Which foods should I eat to detox my body?",nutrition_advice,"Fruits, vegetables, whole grains, and plenty of water support natural detoxification."
"Should I eat red meat regularly?",nutrition_advice,"Red meat is fine in moderation; choose lean cuts and limit processed meats."
"What are the benefits of eating green leafy vegetables?",nutrition_advice,"They provide vitamins, minerals, fiber, and antioxidants supporting overall health."
"Is it good to drink fruit juice daily?",nutrition_advice,"Limit juice due to sugar; whole fruits are better for fiber and nutrients."
"What foods help reduce stress?",nutrition_advice,"Foods rich in omega-3s, magnesium, and vitamins, like nuts, seeds, fish, and leafy greens, help reduce stress."
"Should I avoid fried food completely?",nutrition_advice,"Limit fried foods to reduce unhealthy fats; occasional intake is acceptable."
"Can you suggest foods that improve memory?",nutrition_advice,"Fatty fish, berries, nuts, whole grains, and dark chocolate support cognitive health."
"Which foods are rich in calcium?",nutrition_advice,"Dairy, leafy greens, almonds, tofu, and fortified plant milks provide calcium."
"Is it good to eat cheese every day?",nutrition_advice,"Cheese provides protein and calcium; moderate daily intake is fine."
"Which foods are good for pregnant women?",nutrition_advice,"Fruits, vegetables, whole grains, lean protein, dairy, and iron-rich foods support pregnancy health."
"Should I avoid junk food completely?",nutrition_advice,"Limit junk food; focus on whole, nutrient-rich foods for optimal health."
"What are the best post-workout meals?",nutrition_advice,"Protein and carbs, like eggs with toast, yogurt with fruit, or lean meat with rice, support recovery."
"Is eating fast food harmful if done rarely?",nutrition_advice,"Occasional fast food is fine if most meals are healthy and balanced."
"Which fruits give quick energy?",nutrition_advice,"Bananas, oranges, and apples provide quick natural energy."
"Should I include sprouts in my diet?",nutrition_advice,"Yes, sprouts are rich in protein, vitamins, and minerals."
"What foods help control blood pressure?",nutrition_advice,"Fruits, vegetables, whole grains, low-sodium foods, and potassium-rich foods support blood pressure control."
"Is it healthy to eat sweets sometimes?",nutrition_advice,"Occasional sweets are fine if overall diet is balanced."
"Which foods are best for the skin glow?",nutrition_advice,"Fruits, vegetables, nuts, seeds, and foods rich in omega-3 and antioxidants support skin health."
"Should I drink green tea daily?",nutrition_advice,"Yes, green tea contains antioxidants and supports metabolism and heart health."
"What are the benefits of eating bananas?",nutrition_advice,"Bananas provide potassium, energy, and support digestion and heart health."
"Can you suggest foods for boosting stamina?",nutrition_advice,"Whole grains, lean proteins, fruits, vegetables, and nuts support energy and stamina."
"Which foods are best for students?",nutrition_advice,"Balanced meals with whole grains, protein, fruits, vegetables, and healthy snacks improve focus and energy."
"Is drinking soda bad for health?",nutrition_advice,"Yes, soda contains high sugar and empty calories; limit consumption."
"What are healthy alternatives to sugar?",nutrition_advice,"Honey, maple syrup, fruits, and stevia are healthier sugar alternatives."
"Which foods can help with joint pain?",nutrition_advice,"Fatty fish, nuts, seeds, leafy greens, and turmeric-rich foods support joint health."
"Is it good to eat breakfast daily?",nutrition_advice,"Yes, breakfast provides energy, nutrients, and supports metabolism."
"Should I eat organic food only?",nutrition_advice,"Organic food is good but not essential; focus on variety and balance."
"Which foods improve eye health?",nutrition_advice,"Carrots, leafy greens, citrus fruits, and fish rich in omega-3 support eye health."
"Can you suggest high-protein vegetarian foods?",nutrition_advice,"Legumes, tofu, tempeh, dairy, nuts, and seeds provide vegetarian protein."
"Is intermittent fasting safe for everyone?",nutrition_advice,"It is safe for many adults but not recommended for children, pregnant women, or certain medical conditions."
"Which foods are best for muscle recovery?",nutrition_advice,"Protein-rich foods, carbs, and foods with antioxidants support muscle recovery."
"What foods can help with anxiety?",nutrition_advice,"Fatty fish, nuts, seeds, whole grains, and foods rich in magnesium and vitamins support mental health."
"Is it okay to eat butter sometimes?",nutrition_advice,"Yes, small amounts of butter are fine; focus on moderation and healthy fats."
"Should I drink warm water daily?",nutrition_advice,"Drinking water, warm or cold, keeps you hydrated and supports digestion."
"Which foods are rich in omega-3?",nutrition_advice,"Fatty fish, flaxseeds, chia seeds, walnuts, and hemp seeds are good sources of omega-3."
"Can you suggest snacks for office workers?",nutrition_advice,"Nuts, fruits, yogurt, veggie sticks, and whole-grain crackers make healthy office snacks."
"Is eating rice at night bad?",nutrition_advice,"Moderate rice intake is fine; avoid large portions to prevent indigestion or excess calories."
"What foods are good for liver health?",nutrition_advice,"Leafy greens, citrus fruits, berries, nuts, olive oil, and fatty fish support liver function."
"Should I follow a keto diet?",nutrition_advice,"Keto can work for some people but is restrictive; consult a healthcare professional before starting."
"What foods help strengthen immunity?",nutrition_advice,"Fruits, vegetables, nuts, seeds, yogurt, and lean proteins support a strong immune system."
"Is it good to eat chocolate sometimes?",nutrition_advice,"Yes, moderate dark chocolate is healthy and provides antioxidants."
"Which foods are rich in zinc?",nutrition_advice,"Meat, shellfish, legumes, seeds, nuts, and whole grains are good sources of zinc."
"Can you suggest foods for hair growth?",nutrition_advice,"Eggs, nuts, seeds, leafy greens, fish, and protein-rich foods support hair growth."
"Is drinking coffee daily harmful?",nutrition_advice,"Moderate coffee intake is generally safe; avoid excessive sugar or cream."
"What foods should I eat to stay hydrated?",nutrition_advice,"Water-rich fruits, vegetables, soups, and adequate plain water help maintain hydration."
"Is eating eggs healthy?",nutrition_advice,"Yes, eggs provide protein, vitamins, and minerals and are a healthy part of a balanced diet."
"Which foods help with muscle growth?",nutrition_advice,"Lean meats, eggs, dairy, legumes, nuts, and protein-rich plant foods support muscle growth."
"What are good snacks before bedtime?",nutrition_advice,"Light snacks like yogurt, banana, or a handful of nuts help prevent hunger and promote sleep."
"Is it safe to eat frozen food?",nutrition_advice,"Yes, frozen food is safe and can retain nutrients; avoid heavily processed frozen meals."
"Which foods help in reducing cholesterol?",nutrition_advice,"Oats, beans, nuts, fatty fish, fruits, and vegetables help lower cholesterol levels."
"Should I eat fiber-rich food daily?",nutrition_advice,"Yes, fiber-rich foods like whole grains, fruits, vegetables, and legumes support digestion and heart health."
"Can you suggest foods for glowing skin?",nutrition_advice,"Fruits, vegetables, nuts, seeds, and foods rich in omega-3 support radiant skin."
"What foods are rich in vitamin C?",nutrition_advice,"Citrus fruits, berries, bell peppers, broccoli, and kiwi are high in vitamin C."
"Is it good to eat nuts before bed?",nutrition_advice,"Yes, a small portion of nuts provides healthy fats and protein without affecting sleep."
"Which foods are best for building bones?",nutrition_advice,"Dairy, leafy greens, fortified plant milks, tofu, and nuts provide calcium and vitamin D for bones."
"Should I drink milk daily?",nutrition_advice,"Yes, milk provides calcium, protein, and vitamins, supporting bone and overall health."
"What are the benefits of eating apples?",nutrition_advice,"Apples are rich in fiber, antioxidants, and vitamins that support heart, gut, and overall health."
"Can you suggest foods to reduce sugar cravings?",nutrition_advice,"Fruits, nuts, yogurt, and dark chocolate in moderation can help reduce sugar cravings."
"Which foods are good for mental focus?",nutrition_advice,"Fatty fish, nuts, seeds, berries, dark chocolate, and whole grains improve focus and cognitive function."
"Is eating spicy food harmful?",nutrition_advice,"Moderate spice is generally safe; excessive spice may cause digestive discomfort in some people."
"What foods help reduce acidity?",nutrition_advice,"Bananas, oatmeal, green vegetables, and non-citrus fruits help reduce acidity."
"Should I eat seasonal fruits only?",nutrition_advice,"Seasonal fruits are fresher and nutritious, but other fruits can be eaten in moderation."
"Which foods are best for a healthy gut?",nutrition_advice,"Probiotic foods like yogurt, kefir, fermented foods, fiber-rich fruits, vegetables, and whole grains support gut health."
"Is eating fish daily healthy?",nutrition_advice,"Yes, fatty fish provides protein and omega-3 fatty acids; 2–3 servings per week is sufficient for most people."
"What are healthy snacks for kids?",nutrition_advice,"Fruits, nuts, yogurt, cheese sticks, and whole-grain crackers are nutritious snacks for children."
"Can you suggest foods for reducing weight?",nutrition_advice,"Vegetables, fruits, lean protein, whole grains, and healthy fats with portion control aid weight loss."
"Which foods help in better sleep?",nutrition_advice,"Foods with tryptophan, magnesium, and complex carbs like nuts, dairy, bananas, and whole grains support sleep."
"Is eating oats every morning healthy?",nutrition_advice,"Yes, oats are high in fiber, support digestion, and provide sustained energy."
"What foods are rich in antioxidants?",nutrition_advice,"Berries, dark chocolate, nuts, seeds, spinach, and green tea are rich in antioxidants."
"What are healthy Indian breakfast options?",nutrition_advice,"Idli, dosa, poha, upma, paratha with vegetables, and oatmeal are healthy Indian breakfast choices."
"Is drinking lemon water daily good?",nutrition_advice,"Yes, lemon water helps hydration and provides vitamin C; avoid excessive lemon if you have acidity."
"Can you suggest foods for brain health?",nutrition_advice,"Fatty fish, nuts, seeds, berries, leafy greens, and whole grains support brain function."
"Is eating processed meat bad?",nutrition_advice,"Limit processed meats as they are linked to higher risk of chronic diseases."
"Which foods are best for children’s growth?",nutrition_advice,"Dairy, eggs, lean meats, fruits, vegetables, whole grains, and nuts support healthy growth."
"What foods help with anemia?",nutrition_advice,"Iron-rich foods like red meat, spinach, lentils, beans, and fortified cereals help prevent anemia."
"Should I eat less salt?",nutrition_advice,"Yes, reducing salt intake helps control blood pressure and supports heart health."
"What are healthy alternatives to chips?",nutrition_advice,"Roasted nuts, seeds, air-popped popcorn, veggie sticks, or baked snacks are healthy alternatives."
